ID,t,logFC,P.Value
HGNC:4827,8.706989721,1.897846433,8.7e-06
HGNC:26644,7.827230245,1.659088153,2.11e-05
HGNC:10504,6.378925658,1.286389971,0.000108463
HGNC:26358,5.704679339,1.127034853,0.000253542
HGNC:5141,5.112888832,1.083396241,0.000562241
HGNC:22423,5.301980787,1.077443829,0.000433584
HGNC:13309,5.980313809,1.008115796,0.000177885
HGNC:1628,6.31361259,1.003878372,0.000117456
HGNC:29263,6.054297888,0.897916519,0.000162024
HGNC:26688,5.068769695,0.890851398,0.000597823
HGNC:25736,6.288301385,0.867432331,0.000121156
HGNC:25932,5.488908264,0.822418251,0.000337041
HGNC:28331,4.733914665,0.784774025,0.000961209
HGNC:28313,6.685655143,0.775520058,7.51e-05
HGNC:5361,4.224693557,0.757000972,0.002041394
HGNC:129,5.084114965,0.753703726,0.00058518
HGNC:4054,4.38351461,0.752471242,0.001607591
HGNC:13110,8.71348823,0.732742195,8.65e-06
HGNC:14434,6.070083636,0.73136245,0.000158843
HGNC:10816,7.175470985,0.730610385,4.28e-05
HGNC:26823,5.061313138,0.729263938,0.000604072
HGNC:16879,3.039662672,0.688201014,0.013431884
HGNC:22036,3.737521491,0.665814564,0.00434064
HGNC:20655,5.908338002,0.663860279,0.00019494
HGNC:8864,6.756092867,0.642618891,6.92e-05
HGNC:214,4.368378412,0.638733001,0.001644358
HGNC:37197,8.285026359,0.615319234,1.32e-05
HGNC:24240,5.972356704,0.613594319,0.000179689
HGNC:13257,4.025637887,0.611388169,0.002767726
HGNC:443,7.790561301,0.6110496,2.19e-05
HGNC:17879,6.110644682,0.609672722,0.000150974
HGNC:16100,4.50742989,0.606684654,0.001337549
HGNC:550,3.271883576,0.600709605,0.009174352
HGNC:26138,5.7074918,0.598766719,0.000252614
HGNC:49455,3.848899289,0.591713202,0.003642926
HGNC:17107,5.834319154,0.587074209,0.000214341
HGNC:6131,3.047047241,0.586564873,0.013269179
HGNC:16243,4.580523851,0.582498813,0.001201292
HGNC:2605,5.589189401,0.576986189,0.000295036
HGNC:3299,4.380446023,0.573735139,0.001614973
HGNC:10521,5.590557302,0.57320978,0.000294504
HGNC:7573,4.816639624,0.563609529,0.000853513
HGNC:28344,3.932689472,0.561327182,0.003196351
HGNC:36796,5.922153355,0.560999467,0.000191534
HGNC:7585,6.251001023,0.541936807,0.000126842
HGNC:20810,4.755359148,0.534851919,0.000931962
HGNC:12476,6.444192209,0.532738515,0.000100218
HGNC:6062,6.829452685,0.532412567,6.35e-05
HGNC:23592,3.30236461,0.531042148,0.008729601
HGNC:30885,5.809832733,0.530680523,0.000221211
HGNC:5407,4.558008649,0.518882506,0.001241612
HGNC:32305,3.900377979,0.509381552,0.003361313
HGNC:11630,2.162622175,0.506728757,0.057702861
HGNC:4375,4.060325247,0.506279243,0.002623715
HGNC:3649,6.433325687,0.503352748,0.000101542
HGNC:28642,3.727442424,0.503286949,0.004410362
HGNC:11527,2.21661514,0.501752779,0.052777153
HGNC:23019,4.977876579,0.493451522,0.000678984
HGNC:11822,4.588833869,0.492569848,0.001186765
HGNC:21155,5.17406935,0.491179251,0.000516615
HGNC:13045,6.352077344,0.489275518,0.000112066
HGNC:16391,7.319645796,0.48822193,3.65e-05
HGNC:15805,3.768915247,0.48486316,0.004130796
HGNC:7880,5.082883245,0.483835294,0.000586184
HGNC:24649,7.598258414,0.48288865,2.69e-05
HGNC:11393,9.900219228,0.481174155,2.92e-06
HGNC:23098,4.607233839,0.479723458,0.001155264
HGNC:51634,6.779294368,0.478949319,6.73e-05
HGNC:17880,7.678970565,0.47853746,2.47e-05
HGNC:11128,3.398800991,0.474973481,0.00746406
HGNC:2068,3.946398634,0.474875346,0.003128961
HGNC:12830,5.05511925,0.473887759,0.000609316
HGNC:1975,5.136939271,0.472590522,0.000543808
HGNC:12964,4.724149944,0.472375954,0.00097485
HGNC:32308,5.24038112,0.472031412,0.00047162
HGNC:10359,4.898444207,0.471864006,0.000759626
