ID,t,logFC,adj.P.Val
HGNC:16499,-12.76845623,-0.642564774,0.008253671
HGNC:14893,-12.05181064,-0.61153454,0.008253671
HGNC:28680,-11.67771185,-0.847932549,0.008253671
HGNC:11393,9.900219228,0.481174155,0.01983937
HGNC:11059,-9.749562509,-0.771947211,0.01983937
HGNC:4012,-9.243132668,-0.407611865,0.020068154
HGNC:23131,-8.729665809,-0.410669902,0.022188909
HGNC:13110,8.71348823,0.732742195,0.022188909
HGNC:4827,8.706989721,1.897846433,0.022188909
HGNC:6552,8.681479137,0.44485512,0.022188909
HGNC:49621,-8.545664508,-0.483415466,0.022188909
HGNC:2188,-8.537947725,-0.379174983,0.022188909
HGNC:753,-8.510371919,-1.068366072,0.022188909
HGNC:37197,8.285026359,0.615319234,0.023598575
HGNC:8554,-8.285515708,-0.378202805,0.023598575
HGNC:3071,-8.122122697,-0.391941795,0.024281076
HGNC:1583,-8.029512916,-0.538311838,0.024281076
HGNC:18906,-7.990068015,-0.366617607,0.024281076
HGNC:6452,-7.948629488,-0.401597594,0.024281076
HGNC:21094,-7.850569091,-0.364371031,0.024281076
HGNC:26644,7.827230245,1.659088153,0.024281076
HGNC:443,7.790561301,0.6110496,0.024281076
HGNC:41274,7.752647497,0.376234334,0.024281076
HGNC:18874,7.753282792,0.370076278,0.024281076
HGNC:5185,-7.734437124,-0.40092667,0.024281076
HGNC:29990,-7.711145111,-0.412177787,0.024281076
HGNC:17880,7.678970565,0.47853746,0.024281076
HGNC:16404,7.662301421,0.344812468,0.024281076
HGNC:22974,-7.617110528,-0.406417737,0.024281076
HGNC:24649,7.598258414,0.48288865,0.024281076
HGNC:12457,-7.585722303,-0.456041199,0.024281076
HGNC:6241,-7.491262752,-0.393443559,0.025147136
HGNC:18835,7.381703667,0.34221646,0.026603914
HGNC:24724,7.377884228,0.407950118,0.026603914
HGNC:29580,7.340299279,0.399473946,0.027136679
HGNC:16391,7.319645796,0.48822193,0.027183568
HGNC:11056,-7.294603056,-0.573808985,0.027376296
HGNC:11546,7.20754416,0.338550817,0.027619403
HGNC:5429,7.197819745,0.316444653,0.027619403
HGNC:10816,7.175470985,0.730610385,0.027619403
HGNC:20746,-7.14272125,-0.411251373,0.027619403
HGNC:29571,7.130693205,0.463810699,0.027619403
HGNC:12992,7.086596689,0.416823125,0.027619403
HGNC:22429,-7.086249654,-0.419450956,0.027619403
HGNC:16830,-7.0666211,-0.307877208,0.027619403
HGNC:4667,7.015574422,0.328168569,0.027619403
HGNC:2032,-6.98942869,-0.295807333,0.027619403
HGNC:1136,6.949396357,0.312084774,0.027876909
HGNC:25948,-6.946660696,-0.286596955,0.027876909
HGNC:24166,-6.937055334,-0.374374951,0.027876909
HGNC:6062,6.829452685,0.532412567,0.030047974
HGNC:5360,6.821633745,0.348341145,0.030047974
HGNC:16400,-6.788469637,-0.329320709,0.030047974
HGNC:24944,-6.78471477,-0.854044225,0.030047974
HGNC:51634,6.779294368,0.478949319,0.030047974
HGNC:8864,6.756092867,0.642618891,0.030184913
HGNC:11657,6.730278779,0.378337479,0.030736088
HGNC:16263,-6.713086382,-0.318892258,0.030988939
HGNC:28313,6.685655143,0.775520058,0.031107395
HGNC:12680,-6.669122906,-0.415070059,0.031107395
HGNC:6933,-6.666341845,-0.323030303,0.031107395
HGNC:26006,-6.660735593,-0.280547943,0.031107395
HGNC:3233,-6.6118895,-0.307452738,0.032592476
HGNC:44478,6.587511629,0.343189749,0.032919165
HGNC:8821,6.571692991,0.364777324,0.032919165
HGNC:2376,6.561692858,0.341642099,0.032919165
HGNC:4419,6.553685108,0.392629052,0.032919165
HGNC:7434,-6.525322722,-0.572386286,0.033184881
HGNC:13447,-6.47350243,-0.440236143,0.033615999
HGNC:5156,6.468972059,0.381074685,0.033615999
HGNC:14623,6.455229819,0.312919316,0.033615999
HGNC:1837,-6.451687858,-0.54905536,0.033615999
HGNC:12476,6.444192209,0.532738515,0.033615999
HGNC:3649,6.433325687,0.503352748,0.033615999
HGNC:26777,-6.432020848,-0.519096056,0.033615999
HGNC:15867,6.394830558,0.284780589,0.033615999
