,reactions,weights
0,13DAMPPOX,3.271883576
1,1a_24_25VITD2Hm,0.0
2,1a_24_25VITD3Hm,0.0
3,1a_25VITD2Hm,0.0
4,1a_25VITD3Hm,0.0
5,1PPDCRp,0.0
6,24_25VITD2Hm,0.0
7,24_25VITD3Hm,0.0
8,25VITD2Hm,0.0
9,25VITD3Hm,0.0
10,2AMACHYD,0.0
11,2AMACSULT,0.0
12,2DR1PP,0.0
13,2HBO,3.595213698
14,2OXOADOXm,0.0
15,34DHOXPEGOX,0.0
16,34DHPHAMT,0.0
17,34DHPLACOX,0.0
18,34DHPLACOX_NADP_,0.0
19,34DHXMANDACOX,0.0
20,34DHXMANDACOX_NADP_,0.0
21,34HPLFM,0.0
22,34HPPOR,0.0
23,3AIBTm,0.0
24,3DPHBH1,0.0
25,3DPHBH2,0.0
26,3DSPHR,0.0
27,3HAO,0.0
28,3HBCDm,0.0
29,3HBCOAHLm,0.0
30,3HKYNAKGAT,0.0
31,3HLYTCL,0.0
32,3HPCOAHYD,0.0
33,3HPPD,0.0
34,3HXKYNDCL,0.0
35,3HXKYNOXDA,0.0
36,3M4HDXPAC,0.0
37,3MOX4HOXPGALDOX,0.0
38,3MOX4HOXPGALDOX_NADP_,0.0
39,3MOXTYROX,0.0
40,3NTD7l,0.0
41,3SALACBOXL,0.0
42,3SALAOX,0.0
43,3SALATAi,-4.352289701
44,3SALATAim,0.0
45,3SPYRSP,0.0
46,3SPYRSPm,0.0
47,41R1H2MAE12BOOX,0.0
48,41R2A1H12BOOX,0.0
49,42A12BOOX,3.271883576
50,4HBZCOAFm,0.0
51,4HBZFm,0.0
52,4HGLSDm,0.0
53,4HOXPACDOX_NADP_,0.0
54,4NPHSULT,0.0
55,5ADTSTSTERONESULT,0.0
56,5HLTDL,0.0
57,5HOXINDACTO2OX,-5.722740184
58,5HOXINDACTOXm,0.0
59,5HOXINOXDA,0.0
60,5HTRPDOX,0.0
61,5HXKYNDCL,0.0
62,5HXKYNOXDA,0.0
63,A_MANASE,0.0
64,A_MANASEly,0.0
65,A4GALTc,0.0
66,A4GALTg,0.0
67,A4GNT1g,0.0
