ID,t
HGNC:16499,-1.0
HGNC:14893,-1.0
HGNC:28680,-1.0
HGNC:11393,1.0
HGNC:11059,-1.0
HGNC:4012,-1.0
HGNC:23131,-1.0
HGNC:13110,1.0
HGNC:4827,1.0
HGNC:6552,1.0
HGNC:49621,-1.0
HGNC:2188,-1.0
HGNC:753,-1.0
HGNC:37197,1.0
HGNC:8554,-1.0
HGNC:3071,-1.0
HGNC:1583,-1.0
HGNC:18906,-1.0
HGNC:6452,-1.0
HGNC:21094,-1.0
HGNC:26644,1.0
HGNC:443,1.0
HGNC:41274,1.0
HGNC:18874,1.0
HGNC:5185,-1.0
HGNC:29990,-1.0
HGNC:17880,1.0
HGNC:16404,1.0
HGNC:22974,-1.0
HGNC:24649,1.0
HGNC:12457,-1.0
HGNC:6241,-1.0
HGNC:18835,1.0
HGNC:24724,1.0
HGNC:29580,1.0
HGNC:16391,1.0
HGNC:11056,-1.0
HGNC:11546,1.0
HGNC:5429,1.0
HGNC:10816,1.0
HGNC:20746,-1.0
HGNC:29571,1.0
HGNC:12992,1.0
HGNC:22429,-1.0
HGNC:16830,-1.0
HGNC:4667,1.0
HGNC:2032,-1.0
HGNC:1136,1.0
HGNC:25948,-1.0
HGNC:24166,-1.0
HGNC:6062,1.0
HGNC:5360,1.0
HGNC:16400,-1.0
HGNC:24944,-1.0
HGNC:51634,1.0
HGNC:8864,1.0
HGNC:11657,1.0
HGNC:16263,-1.0
HGNC:28313,1.0
HGNC:12680,-1.0
HGNC:6933,-1.0
HGNC:26006,-1.0
HGNC:3233,-1.0
HGNC:44478,1.0
HGNC:8821,1.0
HGNC:2376,1.0
HGNC:4419,1.0
HGNC:7434,-1.0
HGNC:13447,-1.0
HGNC:5156,1.0
HGNC:14623,1.0
HGNC:1837,-1.0
HGNC:12476,1.0
HGNC:3649,1.0
HGNC:26777,-1.0
HGNC:15867,1.0
HGNC:10959,-1.0
HGNC:10504,1.0
HGNC:17185,-1.0
HGNC:30704,1.0
HGNC:34451,1.0
HGNC:13045,1.0
HGNC:17038,-1.0
HGNC:4010,-1.0
HGNC:1856,1.0
HGNC:19197,-1.0
HGNC:1628,1.0
HGNC:25736,1.0
HGNC:8725,-1.0
HGNC:7585,1.0
HGNC:9059,-1.0
HGNC:17427,-1.0
HGNC:25122,1.0
HGNC:13014,-1.0
HGNC:11046,1.0
HGNC:13156,1.0
HGNC:12805,-1.0
HGNC:24036,-1.0
HGNC:33858,1.0
HGNC:6849,-1.0
HGNC:10023,1.0
HGNC:24190,-1.0
HGNC:17879,1.0
HGNC:27739,-1.0
HGNC:14434,1.0
HGNC:24563,1.0
HGNC:7895,-1.0
HGNC:29607,-1.0
HGNC:8583,-1.0
HGNC:28053,-1.0
HGNC:29263,1.0
HGNC:7861,-1.0
HGNC:28228,1.0
HGNC:17814,1.0
HGNC:3508,1.0
HGNC:17182,1.0
HGNC:10038,1.0
HGNC:77,-1.0
HGNC:53227,1.0
HGNC:13309,1.0
HGNC:11509,-1.0
HGNC:24240,1.0
HGNC:44308,1.0
HGNC:745,-1.0
HGNC:905,-1.0
HGNC:25112,1.0
HGNC:36796,1.0
HGNC:21785,1.0
HGNC:20655,1.0
HGNC:1493,-1.0
HGNC:32434,1.0
HGNC:27801,1.0
HGNC:7114,1.0
HGNC:12881,1.0
HGNC:24055,1.0
HGNC:533,-1.0
HGNC:17107,1.0
HGNC:30885,1.0
HGNC:16885,-1.0
HGNC:25597,1.0
HGNC:12801,-1.0
HGNC:8556,-1.0
HGNC:2279,1.0
HGNC:32019,-1.0
HGNC:20498,-1.0
HGNC:43684,1.0
HGNC:19417,-1.0
HGNC:13168,1.0
HGNC:553,-1.0
HGNC:8933,-1.0
HGNC:12692,-1.0
HGNC:26138,1.0
HGNC:26358,1.0
HGNC:29145,1.0
HGNC:4783,-1.0
