,ID,subsystem
0,13DAMPPOX,beta-Alanine metabolism
1,1a_24_25VITD2Hm,Vitamin D metabolism
2,1a_24_25VITD3Hm,Vitamin D metabolism
3,1a_25VITD2Hm,Vitamin D metabolism
4,1a_25VITD3Hm,Vitamin D metabolism
5,1PPDCRp,Lysine metabolism
6,24_25VITD2Hm,Vitamin D metabolism
7,24_25VITD3Hm,Vitamin D metabolism
8,25VITD2Hm,Vitamin D metabolism
9,25VITD3Hm,Vitamin D metabolism
10,2AMACHYD,"Glycine, serine, alanine and threonine metabolism"
11,2AMACSULT,Methionine and cysteine metabolism
12,2DR1PP,Pyrimidine catabolism
13,2HBO,Propanoate metabolism
14,2OXOADOXm,Lysine metabolism
15,34DHOXPEGOX,Tyrosine metabolism
16,34DHPHAMT,Tyrosine metabolism
17,34DHPLACOX,Tyrosine metabolism
18,34DHPLACOX_NADP_,Tyrosine metabolism
19,34DHXMANDACOX,Tyrosine metabolism
20,34DHXMANDACOX_NADP_,Tyrosine metabolism
21,34HPLFM,Ubiquinone synthesis
22,34HPPOR,Tyrosine metabolism
23,3AIBTm,"Valine, leucine, and isoleucine metabolism"
24,3DPHBH1,Ubiquinone synthesis
25,3DPHBH2,Ubiquinone synthesis
26,3DSPHR,Sphingolipid metabolism
27,3HAO,Tryptophan metabolism
28,3HBCDm,Butanoate metabolism
29,3HBCOAHLm,"Valine, leucine, and isoleucine metabolism"
30,3HKYNAKGAT,Tryptophan metabolism
31,3HLYTCL,Tyrosine metabolism
32,3HPCOAHYD,beta-Alanine metabolism
33,3HPPD,Propanoate metabolism
34,3HXKYNDCL,Tryptophan metabolism
35,3HXKYNOXDA,Tryptophan metabolism
36,3M4HDXPAC,Tyrosine metabolism
37,3MOX4HOXPGALDOX,Tyrosine metabolism
38,3MOX4HOXPGALDOX_NADP_,Tyrosine metabolism
39,3MOXTYROX,Tyrosine metabolism
40,3NTD7l,Purine catabolism
41,3SALACBOXL,Taurine and hypotaurine metabolism
42,3SALAOX,Taurine and hypotaurine metabolism
43,3SALATAi,Methionine and cysteine metabolism
44,3SALATAim,Methionine and cysteine metabolism
45,3SPYRSP,Methionine and cysteine metabolism
46,3SPYRSPm,Methionine and cysteine metabolism
47,41R1H2MAE12BOOX,Tyrosine metabolism
48,41R2A1H12BOOX,Tyrosine metabolism
49,42A12BOOX,Tyrosine metabolism
50,4HBZCOAFm,Ubiquinone synthesis
51,4HBZFm,Ubiquinone synthesis
52,4HGLSDm,Arginine and Proline Metabolism
53,4HOXPACDOX_NADP_,Tyrosine metabolism
54,4NPHSULT,Cytochrome metabolism
